name,arrondissement,address,url,latitude,longitude,lambert93_x,lambert93_y
Le Bosphore,1,"Le Bosphore, 82 Rue Saint-Denis - 75001 Paris 01",https://www.kebab-frites.com/kebab/le-bosphore-paris-01.html,48.86222700,2.34949000,652275.341,6862662.569
La Focaccina,14,"La Focaccina, 119 rue Didot - 75014 Paris 14",https://www.kebab-frites.com/kebab/la-focaccina-paris-14.html,48.827563,2.314974,649709.699,6858829.705
Les délices d'Orient,10,"Les délices d'Orient, 100 boulevard Magenta - 75010 Paris 10",https://www.kebab-frites.com/kebab/les-delices-dorient-paris-10.html,48.877835,2.354926,652688.323,6864394.792
Restaurant Rime,18,"Restaurant Rime, 50 rue marx dormoy - 75018 Paris 18",https://www.kebab-frites.com/kebab/restaurant-rime-paris-18.html,48.887742,2.360017,653070.632,6865493.353
Lyon Fast,12,"Lyon Fast, 9 rue hector malot - 75012 Paris 12",https://www.kebab-frites.com/kebab/lyon-fast-paris-12.html,48.845806,2.375619,654177.816,6860821.222
Restaurant Pixexpress,20,"Restaurant Pixexpress, 86 rue Pixerecourt - 75020 Paris 20",https://www.kebab-frites.com/kebab/restaurant-pixexpress-paris-20.html,48.874929,2.3956,655668.943,6864048.061
Happy Food,20,"Happy Food, 9 rue de Bagnolet - 75020 Paris 20",https://www.kebab-frites.com/kebab/happy-food-paris-20.html,48.856751,2.395211,655624.930,6862027.019
Snack Ugarite,19,"Snack Ugarite, 57 Rue de Belleville - 75019 Paris 19",https://www.kebab-frites.com/kebab/snack-ugarite-paris-19.html,48.873307,2.381703,654648.245,6863875.597
Le vrai gout du Liban,6,"Le vrai gout du Liban, 36 rue St André des Arts - 75006 Paris 06",https://www.kebab-frites.com/kebab/le-vrai-gout-du-liban-paris-06.html,48.853396,2.341726,651697.562,6861685.359
Délices Harpe,5,"Délices Harpe, 15 Rue de la Harpe - 75005 Paris 05",https://www.kebab-frites.com/kebab/delices-harpe-paris-05.html,48.852584,2.344738,651917.821,6861593.234
Restaurant Rosa,14,"Restaurant Rosa, 58 avenue du général Leclerc - 75014 Paris 14",https://www.kebab-frites.com/kebab/restaurant-rosa-paris-14.html,48.830053,2.328509,650705.684,6859098.029
La Parisienne,12,24 boulevard Diderot - 75012 Paris 12,https://www.kebab-frites.com/kebab/la-parisienne-paris-12.html,48.8458401,2.3748428,654120.883,6860825.464
Snack Beyrouth,15,"Snack Beyrouth, 59 rue de Vouillé - 75015 Paris 15",https://www.kebab-frites.com/kebab/snack-beyrouth-paris-15.html,48.833549,2.309635,649323.572,6859498.691
Restaurant Izmir,9,"Restaurant Izmir, 62 rue rue Jean-Baptiste Pigalle - 75009 Paris 09",https://www.kebab-frites.com/kebab/restaurant-izmir-paris-09.html,48.881576,2.336763,651359.718,6864821.802
Soleil d'Anatolie,20,"Soleil d'Anatolie, 5 rue Etienne Dollet - 75020 Paris 20",https://www.kebab-frites.com/kebab/soleil-danatolie-paris-20.html,48.867681,2.383526,654777.074,6863248.979
L'escapade,13,"L'escapade, 44 Rue Baudricourt - 75013 Paris 13",https://www.kebab-frites.com/kebab/lescapade-paris-13.html,48.826907,2.363786,653292.501,6858726.785
Chez Alexandre,1,"Chez Alexandre, 16 rue du Louvre - 75001 Paris 01",https://www.kebab-frites.com/kebab/chez-alexandre-paris-01.html,48.861297,2.341171,651664.169,6862564.221
Chilane,18,"Chilane, 179 Rue Ordener - 75018 Paris 18",https://www.kebab-frites.com/kebab/chilane-paris-18.html,48.893594,2.335899,651307.595,6866158.667
