id_mutation,date_mutation,longitude,latitude,num_ordre,C_QUINSEE,C_QU,C_AR,L_QU
2018-1427642,2018-01-11,2.383843,48.891272,1,7511902,74,19,Pont-de-Flandre
2018-1427643,2018-01-30,2.39854,48.863531,1,7512003,79,20,Père-Lachaise
2018-1427644,2018-01-17,2.409594,48.854542,1,7512004,80,20,Charonne
2018-1427645,2018-01-16,2.400028,48.876445,1,7511903,75,19,Amérique
2018-1427647,2018-01-15,2.382683,48.876243,1,7511904,76,19,Combat
2018-1427648,2018-01-19,2.409483,48.872263,1,7512002,78,20,Saint-Fargeau
2018-1427649,2018-01-11,2.390191,48.872064,1,7512001,77,20,Belleville
2018-1427651,2018-01-12,2.38179,48.892233,1,7511902,74,19,Pont-de-Flandre
2018-1427652,2018-01-31,2.398348,48.86551,1,7512003,79,20,Père-Lachaise
2018-1427654,2018-01-22,2.412825,48.848946,1,7512004,80,20,Charonne
2018-1427655,2018-01-15,2.403218,48.876519,1,7511903,75,19,Amérique
2018-1427656,2018-01-09,2.3836,48.872883,1,7512001,77,20,Belleville
2018-1427657,2018-01-12,2.399312,48.86933,1,7512003,79,20,Père-Lachaise
2018-1427658,2018-01-08,2.377794,48.876968,1,7511904,76,19,Combat
2018-1427659,2018-01-24,2.405642,48.854924,1,7512004,80,20,Charonne
2018-1427660,2018-01-29,2.38617,48.873252,1,7512001,77,20,Belleville
2018-1427661,2018-01-31,2.384624,48.893728,1,7511902,74,19,Pont-de-Flandre
2018-1427662,2018-02-01,2.377355,48.890656,1,7511901,73,19,Villette
2018-1427663,2018-01-26,2.378255,48.884582,1,7511901,73,19,Villette
2018-1427663,2018-01-26,2.378255,48.884582,2,7511901,73,19,Villette
2018-1427664,2018-01-22,2.397946,48.865987,1,7512003,79,20,Père-Lachaise
2018-1427667,2018-01-31,2.379073,48.890476,1,7511901,73,19,Villette
2018-1427668,2018-01-11,2.402637,48.853418,1,7512004,80,20,Charonne
2018-1427669,2018-01-30,2.390191,48.872064,1,7512001,77,20,Belleville
2018-1427670,2018-01-31,2.387547,48.873582,1,7512001,77,20,Belleville
2018-1427672,2018-01-31,2.385003,48.878139,1,7511904,76,19,Combat
2018-1427673,2018-01-25,2.373824,48.875767,1,7511904,76,19,Combat
2018-1427674,2018-01-26,2.389052,48.878113,1,7511903,75,19,Amérique
2018-1427676,2018-01-29,2.379313,48.873229,1,7511904,76,19,Combat
2018-1427677,2018-01-11,2.396462,48.871699,1,7512002,78,20,Saint-Fargeau
2018-1427679,2018-01-31,2.402989,48.869794,1,7512002,78,20,Saint-Fargeau
2018-1427680,2018-01-31,2.374549,48.89224,1,7511901,73,19,Villette
2018-1427681,2018-02-01,2.403079,48.871333,1,7512002,78,20,Saint-Fargeau
2018-1427682,2018-02-05,2.392694,48.887559,1,7511903,75,19,Amérique
2018-1427683,2018-01-29,2.385433,48.876165,1,7511904,76,19,Combat
2018-1427684,2018-01-10,2.40255,48.854268,1,7512004,80,20,Charonne
2018-1427685,2018-01-24,2.383798,48.883063,1,7511904,76,19,Combat
2018-1427686,2018-02-01,2.375305,48.879756,1,7511904,76,19,Combat
2018-1427687,2018-01-26,2.398035,48.871135,1,7512002,78,20,Saint-Fargeau
2018-1427688,2018-01-18,2.405579,48.865898,1,7512002,78,20,Saint-Fargeau
2018-1427689,2018-01-29,2.399649,48.867291,1,7512003,79,20,Père-Lachaise
2018-1427690,2018-02-05,2.400905,48.869298,1,7512002,78,20,Saint-Fargeau
2018-1427691,2018-01-19,2.403191,48.875724,1,7512002,78,20,Saint-Fargeau
2018-1427692,2018-02-01,2.392165,48.884336,1,7511903,75,19,Amérique
2018-1427693,2018-01-08,2.406375,48.857136,1,7512004,80,20,Charonne
2018-1427695,2018-01-17,2.382433,48.883275,1,7511904,76,19,Combat
2018-1427695,2018-01-17,2.382433,48.883275,2,7511904,76,19,Combat
2018-1427696,2018-01-31,2.380306,48.881337,1,7511904,76,19,Combat
2018-1427697,2018-01-19,2.375232,48.894308,1,7511902,74,19,Pont-de-Flandre
2018-1427698,2018-01-22,2.382191,48.874512,1,7511904,76,19,Combat
2018-1427699,2018-01-26,2.405032,48.854404,1,7512004,80,20,Charonne
2018-1427701,2018-01-31,2.387941,48.883966,1,7511903,75,19,Amérique
2018-1427702,2018-01-23,2.392092,48.887352,1,7511903,75,19,Amérique
2018-1427703,2018-01-30,2.374916,48.881945,1,7511904,76,19,Combat
2018-1427705,2018-01-19,2.401826,48.85838,1,7512004,80,20,Charonne
