,id_mutation,num_ordre,Distance_Complete,DPE_Complete,Date_dpe_Complete,DPE1,DPE2,DPE3,DPE4,DPE5,DPE6,DPE7,DPE1old,DPE2old,DPE3old,DPE4old,DPE5old,DPE6old,DPE7old
230,2018-1389481,1,6.453555167153929,3,20151116,0,0,0,0,0,0,0,0,0,1,0,0,0,0
231,2018-1389482,1,31.688322966841184,7,20171103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2018-1389483,1,18.129910510256124,4,20170906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2018-1389485,1,19.66794893530411,6,20180131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2018-1389486,1,15.975997810326774,6,20170721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2018-1389487,1,9.871066962035702,6,20170531,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,2018-1389488,1,23.572416464365737,4,20170103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2018-1389489,1,17.47850519000384,5,20151122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2018-1389490,1,18.45982454366137,5,20150914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2018-1389491,1,18.45982454366137,5,20150914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2018-1389492,1,4.640679200043865,7,20140522,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,2018-1389495,1,14.626815268280676,6,20151112,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,2018-1389496,1,8.321916781462495,5,20141017,0,0,0,0,0,0,0,0,0,0,0,1,0,0
243,2018-1389497,1,37.077447126026414,4,20160411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2018-1389499,1,12.850315986711434,5,20170203,0,0,0,0,0,0,0,0,0,0,0,1,0,0
245,2018-1389500,1,74.59941747156236,4,20180219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2018-1389501,1,11.359816878340514,6,20170425,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,2018-1389502,1,15.931148927151744,5,20150112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2018-1389503,1,12.557141375631833,5,20171114,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,2018-1389507,1,12.412226968982825,1,20150916,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250,2018-1389508,1,18.221192183815877,4,20140228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2018-1389509,1,17.315526971297146,4,20171026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2018-1389512,1,16.34990249433876,6,20171214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2018-1389516,1,8.321916781462495,5,20141017,0,0,0,0,0,0,0,0,0,0,0,1,0,0
254,2018-1389519,1,20.93502965178146,6,20180104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
